signal_date,trade_date,action,sector,from_sector,to_sector,rs20,score,reason,target_weight,nav_at_open,cycle_return,losing_cycle_streak
2022-07-08,2022-07-11,SELL,风电设备,风电设备,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,942636.0367152616,-0.021544942727208083,5.0
2022-08-16,2022-08-17,BUY,半导体设备,,半导体设备,1.2212654978991164,1.2212654978991164,ENTRY_TOP1,1.0,942636.0367152616,,
2022-08-17,2022-08-18,SELL,半导体设备,半导体设备,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,941295.2013707876,-0.0014224316621146427,6.0
2022-10-18,2022-10-19,BUY,信创,,信创,1.237080421301309,1.237080421301309,ENTRY_TOP1,1.0,941295.2013707876,,
2022-11-03,2022-11-04,SELL,信创,信创,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,1091415.9045654803,0.15948312811546828,0.0
2022-11-15,2022-11-16,BUY,建材,,建材,1.1948301602610685,1.1948301602610685,ENTRY_TOP1,1.0,1091415.9045654803,,
2022-11-22,2022-11-23,SELL,建材,建材,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,1056924.2497958895,-0.031602668263591815,1.0
2022-11-28,2022-11-29,BUY,建筑装饰,,建筑装饰,1.1772063933287005,1.1772063933287005,ENTRY_TOP1,1.0,1056924.2497958895,,
2022-12-05,2022-12-06,SELL,建筑装饰,建筑装饰,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,1132517.0614619746,0.07152150372241284,0.0
2023-01-09,2023-01-10,BUY,网络安全,,网络安全,1.1289243953227615,1.1289243953227615,ENTRY_TOP1,1.0,1132517.0614619746,,
2023-02-07,2023-02-08,SWITCH,AIGC,网络安全,AIGC,1.244281793229643,1.244281793229643,STRONGER_RS20_MARGIN_4%,1.0,1236936.0546227572,,
2023-02-13,2023-02-14,SWITCH,CPO,AIGC,CPO,1.4027127303691993,1.4027127303691993,STRONGER_RS20_MARGIN_4%,1.0,1261059.7788692722,,
2023-03-08,2023-03-09,SWITCH,商业航天,CPO,商业航天,1.1967934452761482,1.1967934452761482,STRONGER_RS20_MARGIN_4%,1.0,1306213.0780976797,,
2023-03-23,2023-03-24,SWITCH,CPO,商业航天,CPO,1.3522129710780018,1.3522129710780018,STRONGER_RS20_MARGIN_4%,1.0,1503749.032537961,,
2023-04-03,2023-04-04,SELL,CPO,CPO,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,2017582.8322089894,0.7815032557694777,0.0
2023-04-04,2023-04-06,BUY,CPO,,CPO,1.8027773109885579,1.8027773109885579,ENTRY_TOP1,1.0,2017582.8322089894,,
2023-04-18,2023-04-19,SELL,CPO,CPO,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,2304745.376480461,0.14232998996976298,0.0
2023-04-19,2023-04-20,BUY,CPO,,CPO,1.8501415574063385,1.8501415574063385,ENTRY_TOP1,1.0,2304745.376480461,,
