date,position,target_weight,actual_weight,market_close,market_ma20,market_risk_ma_period,market_risk_ma,market_defensive_ma_period,market_defensive_ma,market_defensive,market_bear_ma_period,market_bear_ma,market_bear_ma_slope_ref,bear_confirmed,bear_entry_lock,market_above_ma20,regime_state,mainline_rise,mainline_streak,non_mainline_streak,market_below_ma20_streak,market_ma20_exit,position_close,position_ma20,position_ma10,position_daily_return,position_peak_close,position_drawdown,cycle_entry_nav,losing_cycle_streak,position_rs20,position_score,top_candidate,top_rs20,top_score,candidate_count,top_changes_in_window,fast_rotation,effective_switch_margin,switch_confirm_streak,signal,next_position,signal_reason,weak_ma10_streak,post_exit_cooldown_days,position_allocation_mode,daily_gain_pause_threshold,entry_pullback_reclaim_ma5,nav
2024-11-28,现金,0.0,0.0,3295.698,3356.11445,180,3053.323538888889,,,False,,,,False,False,False,MAINLINE_DECLINE,False,0,10,5,False,,,,,,,,1,,,液冷,1.1475712899200445,1.1475712899200445,1,0,False,0.07,0,CASH,,ENTRY_GATE_CLOSED_OR_NO_CANDIDATE,0,2,equal_capital,0.085,False,657172.5925067605
2024-11-29,现金,0.0,0.0,3326.456,3358.83655,180,3054.871666666667,,,False,,,,False,False,False,MAINLINE_DECLINE,False,0,11,6,False,,,,,,,,1,,,液冷,1.2210217775732175,1.2210217775732175,2,0,False,0.07,0,CASH,,ENTRY_GATE_CLOSED_OR_NO_CANDIDATE,0,2,equal_capital,0.085,False,657172.5925067605
2024-12-02,现金,0.0,0.0,3363.982,3361.5253,180,3056.67195,,,False,,,,False,False,True,MAINLINE_RISE,True,1,0,0,False,,,,,,,,1,,,液冷,1.1801816680429398,1.1801816680429398,3,0,False,0.07,0,BUY,液冷,ENTRY_TOP1,0,2,equal_capital,0.085,False,657172.5925067605
2024-12-03,液冷,1.0,1.0,3378.806,3361.11625,180,3058.6242,,,False,,,,False,False,True,MAINLINE_RISE,True,2,0,0,False,98.558,96.5205,99.2182,-0.01485346447563074,98.558,0.0,657172.5925067605,1,1.1064981138853962,1.1064981138853962,液冷,1.1064981138853962,1.1064981138853962,1,0,False,0.07,0,HOLD,液冷,NO_STRONGER_QUALIFIED_SECTOR,1,2,equal_capital,0.085,False,660778.3516315571
2024-12-04,液冷,1.0,1.0,3364.65,3360.15845,180,3060.394372222222,,,False,,,,False,False,True,MAINLINE_RISE,True,3,0,0,False,98.416,97.0244,99.23120000000002,-0.001440775989772658,98.558,-0.001440775989772658,657172.5925067605,1,1.1140845389300187,1.1140845389300187,液冷,1.1140845389300187,1.1140845389300187,1,0,False,0.07,0,HOLD,液冷,NO_STRONGER_QUALIFIED_SECTOR,2,2,equal_capital,0.085,False,651614.2954117118
2024-12-05,液冷,1.0,1.0,3368.855,3355.06815,180,3062.063261111111,,,False,,,,False,False,True,BROAD_DECLINE_OR_NO_LEADER,False,0,1,0,False,98.81800000000001,97.381,99.09920000000001,0.004084701674524682,98.81800000000001,0.0,657172.5925067605,1,1.0777872303296034,1.0777872303296034,,,,0,0,False,0.07,0,HOLD,液冷,NO_STRONGER_QUALIFIED_SECTOR,3,2,equal_capital,0.085,False,660806.6281445493
2024-12-06,液冷,1.0,1.0,3404.076,3352.6571000000004,180,3063.9973777777773,,,False,,,,False,False,True,NO_MAINLINE_ROTATION,False,0,2,0,False,98.17,97.5284,98.72380000000001,-0.0065575097654274606,98.81800000000001,-0.0065575097654274606,657172.5925067605,1,1.0309592321102268,1.0309592321102268,AIGC,1.128990266560161,1.128990266560161,1,0,False,0.07,1,HOLD,液冷,SWITCH_CONFIRM_1_OF_2,4,2,equal_capital,0.085,False,657629.7456389195
2024-12-09,液冷,1.0,1.0,3402.534,3349.2805,180,3065.9901500000005,,,False,,,,False,False,True,BROAD_DECLINE_OR_NO_LEADER,False,0,3,0,False,96.43799999999999,97.3255,98.6276,-0.017642864418865423,98.81800000000001,-0.024084680928575963,657172.5925067605,1,0.9596202833943639,0.9596202833943639,,,,0,0,False,0.07,0,HOLD,液冷,NO_STRONGER_QUALIFIED_SECTOR,5,2,equal_capital,0.085,False,658495.9714473229
2024-12-10,液冷,1.0,1.0,3422.661,3349.31505,180,3068.1258555555555,,,False,,,,False,False,True,NO_MAINLINE_ROTATION,False,0,4,0,False,94.86399999999999,97.1331,98.65200000000002,-0.016321367095957995,98.81800000000001,-0.040012953105709737,657172.5925067605,1,0.961017910689683,0.961017910689683,AIGC,1.1645139803941442,1.1645139803941442,1,0,False,0.07,1,HOLD,液冷,SWITCH_CONFIRM_1_OF_2,6,2,equal_capital,0.085,False,658653.8495411462
2024-12-11,液冷,1.0,1.0,3432.49,3348.9756500000003,180,3070.2250444444444,,,False,,,,False,False,True,BROAD_DECLINE_OR_NO_LEADER,False,0,5,0,False,96.83,97.03729999999999,98.2268,0.020724405464665363,98.81800000000001,-0.020117792305045734,657172.5925067605,1,0.9805966823972617,0.9805966823972617,,,,0,0,False,0.07,0,HOLD,液冷,NO_STRONGER_QUALIFIED_SECTOR,7,2,equal_capital,0.085,False,687947.4652575256
